t_ms,mean_S_AtoB,lo_S_AtoB,hi_S_AtoB,mean_S_BtoA,lo_S_BtoA,hi_S_BtoA,n_AtoB,n_BtoA,label_AtoB,label_BtoA
-164.99999999999997,1.469503321609784,1.1064518089443158,1.832554834275252,2.128716960142496,1.3413619964074395,2.9160719238775528,11,11,LIP → FEF,FEF → LIP
-145.00000000000003,1.4922337865297428,1.1525428937500974,1.8319246793093882,2.189368613134095,1.519275558144523,2.859461668123667,11,11,LIP → FEF,FEF → LIP
-125.0,1.3627042849603248,1.0821522455024373,1.6432563244182123,2.034022959973643,1.4204769226826754,2.6475689972646106,11,11,LIP → FEF,FEF → LIP
-105.00000000000003,1.3721612643935293,1.0258282434978887,1.7184942852891698,3.3926347113008237,2.391076948950542,4.394192473651105,11,11,LIP → FEF,FEF → LIP
-85.00000000000003,1.9619908193683864,1.4669486824730429,2.45703295626373,3.0820347095472824,2.21086994440966,3.953199474684905,11,11,LIP → FEF,FEF → LIP
-65.00000000000004,1.704850539307521,1.2705973154390557,2.1391037631759864,2.764886962982548,2.0872982088153,3.4424757171497964,11,11,LIP → FEF,FEF → LIP
-45.00000000000006,2.305634457065132,1.6717924738874994,2.9394764402427644,3.5330042956932513,2.668974765349506,4.3970338260369966,11,11,LIP → FEF,FEF → LIP
-25.000000000000064,2.3876100143274654,1.8946011243220835,2.8806189043328474,3.27035800173882,2.5579411914507153,3.982774812026925,11,11,LIP → FEF,FEF → LIP
-5.000000000000074,2.8146171687126342,2.188313092396535,3.4409212450287336,3.107403582773973,2.4935956068785528,3.7212115586693937,11,11,LIP → FEF,FEF → LIP
14.999999999999917,2.088554690855501,1.7325455580798426,2.4445638236311593,3.391670074594152,2.6525243727282937,4.13081577646001,11,11,LIP → FEF,FEF → LIP
34.99999999999991,2.6624014048429157,1.9852040967652267,3.339598712920605,2.322972331407685,1.8856177794543818,2.760326883360988,11,11,LIP → FEF,FEF → LIP
54.99999999999989,2.6466085596615883,1.7747954586642811,3.5184216606588956,2.1253198305510708,1.580019478962031,2.6706201821401105,11,11,LIP → FEF,FEF → LIP
74.99999999999989,1.7402447447351619,1.0556825151427227,2.424806974327601,3.0565495307967696,2.080494917835824,4.032604143757715,11,11,LIP → FEF,FEF → LIP
94.9999999999999,1.8458959717811332,1.2052282426937944,2.486563700868472,3.339300492650622,2.4696207564859596,4.208980228815284,11,11,LIP → FEF,FEF → LIP
114.99999999999987,1.5652061117134606,1.1644849009756757,1.9659273224512455,3.285524958659525,2.6384851408198418,3.9325647764992087,11,11,LIP → FEF,FEF → LIP
134.99999999999983,1.4953658747555096,0.9966471632136775,1.9940845862973418,3.914450738442163,3.05992871639293,4.768972760491396,11,11,LIP → FEF,FEF → LIP
154.99999999999986,1.3010808036370805,0.8808306332592744,1.7213309740148866,5.462166360081703,4.539273500740379,6.385059219423027,11,11,LIP → FEF,FEF → LIP
174.9999999999999,1.4723496850169147,0.9893439258244201,1.9553554442094092,4.746928917365725,4.052854244502878,5.441003590228572,11,11,LIP → FEF,FEF → LIP
194.99999999999983,1.8839917251379739,1.2033693146466713,2.5646141356292764,5.028220760033314,4.320919290540575,5.735522229526053,11,11,LIP → FEF,FEF → LIP
214.9999999999998,1.1882286062849439,0.8146360149559191,1.5618211976139686,4.674664198139955,3.8607194004186156,5.488608995861295,11,11,LIP → FEF,FEF → LIP
234.99999999999983,0.8626572904404575,0.5937597922961444,1.1315547885847705,4.7896421927349175,3.8664618894005445,5.712822496069291,11,11,LIP → FEF,FEF → LIP
254.99999999999983,1.0178971389951659,0.6519500920266683,1.3838441859636634,4.153025847484554,3.215610571436123,5.090441123532985,11,11,LIP → FEF,FEF → LIP
274.9999999999998,1.0642041982916846,0.7024864159026523,1.4259219806807168,4.03159158593942,3.1404976074789794,4.922685564399861,11,11,LIP → FEF,FEF → LIP
294.9999999999998,1.6355683486486738,1.0837631730323052,2.1873735242650425,4.638469834183734,3.6477846096282334,5.629155058739235,11,11,LIP → FEF,FEF → LIP
314.9999999999998,2.1661893303225246,1.513409464182755,2.8189691964622945,4.431402109892704,3.431366734703732,5.431437485081676,11,11,LIP → FEF,FEF → LIP
334.9999999999998,2.4655677715442024,1.8682168238495387,3.062918719238866,4.218908194657818,3.2236705587105954,5.21414583060504,11,11,LIP → FEF,FEF → LIP
354.99999999999983,2.852357365125225,2.204002989840663,3.5007117404097876,3.997938085267737,3.083887738174626,4.911988432360848,11,11,LIP → FEF,FEF → LIP
374.9999999999997,2.196935807076086,1.4646962071448906,2.929175407007281,3.428231321273944,2.659853237158482,4.196609405389406,11,11,LIP → FEF,FEF → LIP
394.9999999999997,2.5823227253753633,1.8909090401495356,3.273736410601191,2.948257133453383,2.242783763420597,3.6537305034861687,11,11,LIP → FEF,FEF → LIP
414.9999999999998,2.2523811839691064,1.622515272408731,2.8822470955294817,2.110073838988047,1.3414477797323179,2.878699898243776,11,11,LIP → FEF,FEF → LIP
434.99999999999966,2.041835078052742,1.5151139620412941,2.5685561940641897,1.9361823804275995,1.1619433675417492,2.7104213933134496,11,11,LIP → FEF,FEF → LIP
454.99999999999966,2.0117799397315776,1.4699645311828324,2.553595348280323,1.7699494699877247,1.0188255505578236,2.5210733894176256,11,11,LIP → FEF,FEF → LIP
474.9999999999997,1.7030391470165411,1.0087503219717329,2.3973279720613494,2.6045141461418533,1.7741102408522018,3.434918051431505,11,11,LIP → FEF,FEF → LIP
494.9999999999997,1.5975988084131962,0.8243625744568288,2.3708350423695634,3.1322674341028165,2.3558932076666483,3.9086416605389847,11,11,LIP → FEF,FEF → LIP
514.9999999999997,2.0432258863455766,1.239772132351822,2.846679640339331,3.33118724787919,2.4358485623267105,4.226525933431669,11,11,LIP → FEF,FEF → LIP
534.9999999999995,2.2490459927919484,1.4444325724187093,3.0536594131651875,2.93229716673419,2.0597508542455767,3.8048434792228036,11,11,LIP → FEF,FEF → LIP
554.9999999999997,2.958900390734556,2.01531541261313,3.902485368855982,2.251989455786443,1.3009507267216562,3.203028184851229,11,11,LIP → FEF,FEF → LIP
574.9999999999997,2.559719359841771,1.7388861488089353,3.3805525708746065,2.48748413580609,1.462832011338119,3.5121362602740613,11,11,LIP → FEF,FEF → LIP
594.9999999999995,2.1051555853518127,1.337955984052613,2.8723551866510126,2.4053095881427846,1.3640669761253854,3.446552200160184,11,11,LIP → FEF,FEF → LIP
614.9999999999995,2.100436022476044,1.3588579716065443,2.8420140733455437,2.9429470348595888,2.0166313362707227,3.869262733448455,11,11,LIP → FEF,FEF → LIP
634.9999999999995,2.036211429511214,1.286390039084281,2.7860328199381468,3.779450078892843,2.786131199780879,4.772768958004807,11,11,LIP → FEF,FEF → LIP
654.9999999999995,2.7252057478322387,1.8203998414987015,3.630011654165776,3.709778397859827,2.758702380847332,4.660854414872322,11,11,LIP → FEF,FEF → LIP
674.9999999999995,3.717802228355755,2.6563347713419256,4.779269685369584,3.439778333999222,2.7081304230262995,4.171426244972145,11,11,LIP → FEF,FEF → LIP
694.9999999999995,3.454248876755446,2.53897662340402,4.369521130106872,2.6355059786657304,1.8957899421368776,3.3752220151945833,11,11,LIP → FEF,FEF → LIP
714.9999999999995,3.2958898628431252,2.492523469452723,4.099256256233527,2.970168719446059,2.147088079765945,3.7932493591261727,11,11,LIP → FEF,FEF → LIP
